depth	min	max	median	mean
176	12262	12976	12532	12560
176.00005	12262	12976	12532	12560
177	12262	12976	12532	12560
178	12262	12976	12532	12560
179	12262	12976	12532	12560
180	12262	12976	12532	12560
180.00005	12292	13149	12563	12602
181	12313	13200	12582	12622
182	12346	13269	12618	12658
183	12367	13347	12656	12694
184	12401	13417	12687	12727
185	12425	13491	12719	12760
186	12462	13556	12747	12791
187	12487	13624	12777	12822
188	12521	13688	12806	12853
189	12544	13756	12835	12884
190	12583	13821	12862	12915
191	12609	13882	12891	12946
192	12651	13952	12917	12977
193	12679	14021	12946	13008
194	12722	14084	12971	13038
195	12750	14139	12998	13067
196	12798	14204	13023	13098
197	12826	14273	13049	13129
198	12888	14342	13072	13160
199	12923	14422	13099	13191
200	12981	14524	13166	13257
201	13008	14603	13227	13323
202	13064	14683	13312	13407
203	13089	14778	13390	13491
204	13149	14858	13485	13581
205	13178	14953	13573	13672
206	13242	15037	13668	13763
207	13278	15137	13764	13854
208	13349	15216	13865	13950
209	13389	15340	13962	14045
210	13464	15429	14054	14138
211	13510	15540	14149	14230
212	13591	15632	14243	14324
213	13640	15756	14340	14419
214	13733	15853	14434	14515
215	13793	15975	14534	14611
216	13878	16058	14630	14706
217	13936	16181	14724	14801
218	14034	16272	14823	14894
219	14099	16407	14922	14988
220	14194	16492	15019	15082
221	14258	16622	15114	15177
222	14365	16716	15208	15270
223	14443	16809	15302	15363
224	14559	16901	15422	15478
225	14634	17034	15537	15593
226	14755	17126	15664	15719
227	14825	17274	15789	15846
228	14938	17364	15919	15970
229	15003	17504	16048	16095
230	15140	17581	16180	16222
231	15220	17717	16310	16348
232	15346	17822	16440	16475
233	15428	17948	16571	16601
234	15559	18047	16700	16726
235	15663	18165	16827	16851
236	15794	18251	16961	16976
237	15884	18384	17089	17102
238	16033	18471	17218	17229
239	16122	18594	17356	17356
240	16277	18682	17481	17483
241	16383	18809	17608	17610
242	16539	18891	17741	17739
243	16639	19002	17883	17868
244	16802	19086	18012	17994
245	16903	19204	18140	18120
246	17080	19277	18271	18248
247	17213	19393	18402	18377
248	17388	19465	18534	18505
249	17498	19572	18666	18634
250	17674	19631	18795	18762
251	17798	19732	18927	18889
252	17996	19807	19047	19017
253	18130	19905	19168	19145
254	18272	19959	19250	19234
255	18375	20038	19345	19324
256	18494	20070	19411	19392
257	18592	20120	19482	19461
258	18706	20160	19545	19525
259	18796	20204	19610	19589
260	18926	20239	19671	19653
261	19021	20291	19737	19716
262	19164	20332	19793	19780
263	19254	20385	19854	19844
264	19401	20414	19905	19907
265	19496	20456	19965	19970
266	19630	20490	20020	20034
