depth	min	max	median	mean
39	5998	6273	6149	6141
40	6052	6378	6220	6219
41	6083	6548	6292	6298
42	6193	6589	6379	6382
43	6242	6666	6471	6466
44	6379	6711	6547	6547
45	6434	6837	6626	6628
46	6501	6904	6693	6696
47	6536	7045	6755	6765
48	6593	7107	6820	6829
49	6629	7223	6881	6894
50	6680	7285	6947	6957
51	6712	7383	7011	7020
52	6771	7433	7075	7083
53	6809	7515	7138	7145
54	6875	7566	7204	7209
55	6912	7646	7269	7273
56	6983	7690	7335	7336
57	7030	7758	7400	7399
58	7104	7797	7466	7462
59	7151	7866	7533	7526
60	7228	7900	7597	7589
61	7282	7960	7665	7652
62	7375	7994	7729	7717
63	7432	8047	7798	7781
64	7550	8079	7856	7844
65	7610	8130	7922	7907
66	7774	8155	7971	7971
67	7873	8200	8026	8034
68	7918	8245	8071	8079
69	7949	8330	8114	8124
70	7988	8373	8158	8165
71	8012	8446	8197	8207
72	8047	8489	8240	8247
73	8070	8548	8280	8288
74	8105	8591	8322	8329
75	8128	8651	8362	8370
76	8165	8690	8404	8410
77	8188	8752	8444	8451
78	8227	8788	8485	8491
79	8253	8841	8527	8531
80	8291	8876	8568	8572
81	8318	8929	8609	8613
82	8358	8967	8651	8653
83	8387	9018	8690	8694
84	8434	9054	8731	8735
85	8468	9102	8772	8775
86	8510	9134	8814	8816
87	8540	9179	8856	8857
88	8589	9210	8895	8898
89	8620	9254	8938	8939
90	8667	9287	8979	8979
91	8695	9325	9020	9019
92	8741	9354	9060	9059
93	8778	9395	9101	9098
94	8835	9422	9142	9139
95	8873	9463	9184	9180
96	8927	9494	9223	9220
97	8963	9532	9265	9260
98	9023	9556	9304	9301
99	9061	9591	9346	9341
100	9121	9619	9386	9382
101	9163	9659	9429	9424
102	9232	9685	9467	9464
103	9276	9723	9506	9504
104	9359	9750	9541	9545
105	9412	9788	9579	9585
106	9485	9819	9615	9624
107	9516	9864	9654	9663
108	9549	9898	9691	9699
109	9568	9956	9727	9735
110	9597	9994	9763	9770
111	9614	10047	9797	9805
112	9645	10083	9833	9841
113	9665	10137	9868	9877
114	9695	10170	9904	9912
115	9715	10219	9939	9947
116	9749	10255	9974	9982
117	9769	10308	10010	10018
118	9804	10338	10045	10052
119	9826	10383	10080	10087
120	9862	10415	10115	10122
121	9888	10460	10151	10158
122	9921	10492	10186	10192
123	9948	10532	10222	10227
124	9982	10567	10257	10262
125	10009	10612	10294	10298
126	10049	10638	10329	10333
127	10076	10681	10364	10368
128	10114	10710	10401	10403
129	10141	10748	10436	10439
130	10178	10781	10472	10474
131	10207	10823	10508	10510
132	10249	10848	10543	10545
133	10280	10886	10579	10581
134	10325	10912	10614	10616
135	10356	10949	10651	10652
136	10401	10979	10687	10687
137	10433	11017	10723	10723
138	10474	11047	10758	10758
139	10505	11085	10793	10794
140	10550	11112	10829	10829
141	10584	11146	10865	10864
142	10634	11176	10899	10899
143	10670	11216	10934	10934
144	10722	11255	10969	10970
145	10758	11294	11006	11006
146	10819	11334	11040	11042
147	10857	11375	11076	11078
148	10921	11422	11107	11113
149	10962	11470	11142	11148
150	11056	11525	11182	11193
151	11091	11571	11225	11238
152	11152	11623	11293	11307
153	11180	11712	11353	11375
154	11240	11773	11429	11447
155	11270	11871	11500	11519
156	11341	11931	11579	11593
157	11377	12032	11657	11668
158	11470	12089	11734	11745
159	11515	12177	11814	11821
160	11654	12248	11881	11898
161	11728	12352	11952	11974
162	11818	12393	12022	12046
163	11861	12484	12097	12118
164	11913	12514	12141	12164
165	11946	12568	12183	12210
166	11992	12594	12220	12252
167	12024	12630	12259	12293
168	12065	12657	12294	12329
169	12090	12699	12329	12364
170	12120	12734	12358	12394
171	12142	12780	12391	12424
172	12171	12816	12421	12454
173	12192	12859	12453	12483
174	12224	12898	12481	12512
175	12246	12944	12513	12541
