depth	min	max	median	mean
39	5974	6265	6138	6126
40	6047	6374	6208	6209
41	6074	6557	6283	6293
42	6190	6611	6376	6382
43	6249	6676	6473	6471
44	6371	6725	6547	6549
45	6422	6840	6626	6627
46	6494	6905	6694	6696
47	6524	7058	6757	6765
48	6586	7126	6825	6834
49	6617	7262	6890	6902
50	6686	7320	6957	6967
51	6719	7402	7027	7032
52	6787	7457	7087	7094
53	6817	7532	7151	7155
54	6874	7580	7220	7220
55	6910	7641	7282	7284
56	6988	7684	7345	7343
57	7033	7761	7405	7402
58	7093	7798	7471	7464
59	7138	7872	7533	7526
60	7231	7904	7596	7591
61	7293	7959	7666	7657
62	7377	8008	7733	7720
63	7435	8062	7801	7783
64	7547	8092	7863	7849
65	7595	8142	7932	7915
66	7761	8166	7978	7977
67	7867	8201	8031	8040
68	7916	8247	8080	8086
69	7948	8349	8125	8132
70	7980	8392	8171	8176
71	8002	8466	8212	8219
72	8038	8503	8256	8260
73	8064	8570	8295	8301
74	8103	8615	8334	8338
75	8128	8670	8369	8376
76	8159	8716	8408	8417
77	8182	8772	8449	8457
78	8212	8807	8490	8497
79	8239	8859	8533	8537
80	8288	8889	8573	8576
81	8314	8930	8610	8616
82	8358	8973	8650	8655
83	8392	9024	8690	8695
84	8439	9055	8729	8734
85	8470	9102	8768	8773
86	8514	9136	8806	8813
87	8545	9171	8849	8853
88	8592	9200	8888	8892
89	8622	9261	8931	8931
90	8669	9292	8973	8972
91	8702	9336	9016	9013
92	8757	9365	9056	9055
93	8789	9406	9104	9097
94	8836	9431	9140	9138
95	8867	9469	9183	9178
96	8917	9498	9219	9217
97	8949	9543	9259	9255
98	9010	9564	9303	9299
99	9047	9606	9350	9343
100	9120	9633	9390	9384
101	9165	9666	9429	9424
102	9220	9698	9465	9463
103	9262	9732	9503	9502
104	9350	9755	9539	9544
105	9398	9792	9584	9587
106	9475	9833	9617	9625
107	9501	9882	9657	9664
108	9535	9919	9694	9700
109	9553	9977	9729	9736
110	9580	10011	9764	9771
111	9600	10050	9796	9805
112	9630	10084	9835	9841
113	9644	10138	9869	9877
114	9677	10177	9907	9914
115	9701	10232	9945	9950
116	9740	10265	9985	9987
117	9760	10319	10020	10024
118	9795	10350	10055	10059
119	9820	10401	10088	10094
120	9860	10438	10124	10128
121	9882	10463	10155	10161
122	9920	10505	10188	10195
123	9939	10542	10222	10228
124	9972	10576	10259	10264
125	10003	10623	10294	10300
126	10043	10663	10332	10337
127	10069	10702	10370	10375
128	10108	10736	10408	10411
129	10130	10777	10448	10447
130	10165	10807	10483	10483
131	10194	10849	10520	10518
132	10239	10878	10556	10553
133	10264	10913	10592	10589
134	10310	10932	10627	10626
135	10335	10969	10665	10663
136	10379	10991	10698	10695
137	10401	11016	10729	10728
138	10441	11049	10767	10764
139	10489	11100	10804	10800
140	10538	11122	10838	10833
141	10575	11160	10870	10867
142	10612	11184	10904	10902
143	10642	11210	10941	10938
144	10695	11240	10972	10971
145	10729	11280	11007	11003
146	10798	11316	11038	11040
147	10832	11362	11076	11076
148	10904	11393	11106	11109
149	10942	11430	11137	11142
150	11042	11472	11178	11189
151	11081	11538	11223	11236
152	11132	11596	11290	11304
153	11156	11724	11349	11371
154	11226	11794	11432	11449
155	11253	11928	11507	11527
156	11339	12038	11600	11616
157	11376	12154	11692	11705
158	11464	12233	11769	11781
159	11517	12341	11842	11858
160	11666	12402	11911	11940
161	11734	12492	11987	12023
162	11838	12544	12069	12102
163	11888	12612	12156	12181
164	11934	12626	12202	12229
165	11961	12650	12249	12277
166	12006	12668	12293	12317
167	12033	12695	12336	12358
168	12070	12711	12370	12394
169	12094	12748	12407	12430
170	12133	12802	12439	12463
171	12153	12892	12475	12497
172	12169	12976	12492	12520
173	12177	13073	12512	12543
173.00005	12177	13073	12512	12543
174	12177	13073	12512	12543
175	12177	13073	12512	12543
175.00005	12177	13073	12512	12543
176	12177	13073	12512	12543
177	12177	13073	12512	12543
178	12177	13073	12512	12543
179	12177	13073	12512	12543
180	12177	13073	12512	12543
180.00005	12220	13958	12563	12700
181	12260	14011	12604	12745
182	12291	14037	12646	12790
183	12328	14135	12680	12834
184	12350	14225	12718	12879
185	12388	14279	12750	12922
186	12413	14335	12785	12965
187	12454	14376	12818	13009
188	12486	14430	12851	13053
189	12536	14475	12886	13098
190	12579	14542	12915	13142
191	12622	14643	12949	13185
192	12649	14730	12981	13228
193	12695	14775	13012	13269
194	12729	14823	13040	13311
195	12766	14879	13067	13353
196	12794	14950	13100	13395
197	12856	15026	13125	13438
198	12902	15081	13159	13481
199	12972	15143	13195	13534
200	13009	15209	13247	13586
201	13073	15289	13322	13660
202	13100	15406	13420	13734
203	13177	15482	13518	13820
204	13208	15577	13622	13907
205	13277	15658	13724	13994
206	13329	15730	13825	14081
207	13399	15811	13941	14179
208	13448	15893	14050	14277
209	13534	15969	14149	14369
210	13593	16064	14255	14461
211	13685	16156	14357	14551
212	13751	16240	14458	14642
213	13838	16338	14554	14733
214	13898	16443	14651	14824
215	13990	16508	14755	14920
216	14055	16615	14865	15016
217	14150	16708	14963	15107
218	14221	16811	15051	15198
219	14323	16887	15143	15289
220	14412	16965	15238	15380
221	14521	17050	15326	15470
222	14592	17146	15421	15561
223	14703	17210	15528	15658
224	14769	17281	15634	15756
225	14871	17346	15736	15857
226	14946	17425	15870	15959
227	15049	17497	15978	16068
228	15120	17586	16090	16177
229	15256	17655	16201	16283
230	15342	17733	16314	16389
231	15441	17819	16430	16497
232	15505	17926	16560	16605
233	15644	18000	16681	16715
234	15756	18077	16800	16825
235	15858	18154	16912	16933
236	15946	18248	17017	17041
237	16050	18312	17139	17147
238	16135	18404	17255	17253
239	16292	18458	17365	17364
240	16382	18537	17476	17475
241	16526	18622	17588	17586
242	16615	18730	17709	17698
243	16793	18817	17817	17807
244	16909	18917	17923	17916
245	17026	18991	18035	18030
246	17148	19076	18149	18144
247	17278	19133	18269	18255
248	17383	19241	18385	18366
249	17523	19297	18498	18479
250	17646	19399	18615	18592
251	17829	19466	18736	18709
252	17971	19570	18851	18826
253	18111	19643	18963	18940
254	18229	19729	19078	19054
255	18337	19776	19152	19129
256	18417	19847	19231	19204
257	18523	19887	19300	19278
258	18620	19936	19370	19353
259	18740	19980	19446	19428
260	18827	20039	19520	19502
261	18956	20083	19591	19574
262	19044	20144	19665	19645
263	19163	20180	19735	19716
