depth	min	max	median	mean
39	5993	6270	6143	6134
40	6040	6390	6215	6215
41	6060	6582	6289	6297
42	6188	6611	6374	6382
43	6243	6676	6467	6468
44	6385	6735	6545	6549
45	6441	6847	6628	6631
46	6515	6917	6698	6701
47	6541	7095	6755	6772
48	6592	7153	6825	6837
49	6616	7274	6885	6901
50	6678	7333	6960	6971
51	6712	7436	7030	7040
52	6759	7478	7090	7098
53	6791	7545	7154	7156
54	6863	7597	7220	7221
55	6899	7682	7289	7286
56	6974	7728	7352	7349
57	7021	7801	7409	7413
58	7125	7851	7479	7481
59	7178	7895	7551	7550
60	7250	7934	7618	7610
61	7296	8000	7678	7669
62	7388	8027	7745	7730
63	7438	8053	7814	7791
64	7563	8076	7867	7853
65	7612	8131	7927	7915
66	7787	8161	7978	7978
67	7882	8203	8032	8041
68	7939	8250	8079	8086
69	7965	8342	8125	8132
70	7998	8373	8162	8169
71	8015	8446	8200	8207
72	8042	8492	8244	8249
73	8059	8568	8278	8290
74	8090	8607	8324	8333
75	8115	8671	8367	8377
76	8160	8716	8413	8419
77	8183	8788	8449	8461
78	8222	8824	8490	8501
79	8242	8871	8535	8541
80	8285	8908	8576	8579
81	8314	8961	8612	8617
82	8348	8991	8652	8657
83	8372	9044	8689	8697
84	8415	9080	8734	8738
85	8444	9117	8778	8779
86	8478	9162	8821	8820
87	8503	9228	8868	8861
88	8544	9242	8907	8898
89	8578	9289	8939	8934
90	8631	9314	8980	8978
91	8659	9356	9028	9022
92	8705	9389	9060	9059
93	8730	9418	9099	9095
94	8785	9441	9141	9136
95	8820	9497	9182	9176
96	8881	9527	9224	9220
97	8927	9564	9269	9263
98	8985	9590	9312	9304
99	9026	9625	9356	9346
100	9101	9644	9393	9385
101	9131	9677	9434	9425
102	9230	9705	9473	9470
103	9288	9745	9516	9515
104	9379	9773	9551	9554
105	9424	9810	9584	9593
106	9488	9837	9615	9627
107	9514	9871	9651	9662
108	9552	9900	9689	9698
109	9568	9977	9723	9735
110	9593	10007	9762	9770
111	9607	10049	9799	9806
112	9637	10095	9838	9844
113	9655	10153	9874	9882
114	9680	10194	9907	9916
115	9699	10247	9940	9950
116	9749	10275	9979	9988
117	9771	10330	10019	10026
118	9802	10364	10056	10061
119	9824	10404	10090	10096
120	9860	10439	10125	10133
121	9890	10483	10163	10171
122	9926	10515	10202	10205
123	9947	10547	10237	10240
124	9977	10575	10270	10273
125	10004	10620	10307	10306
126	10030	10648	10338	10340
127	10063	10674	10371	10374
128	10098	10715	10407	10407
129	10127	10759	10439	10441
130	10163	10787	10474	10479
131	10191	10828	10514	10516
132	10242	10855	10551	10553
133	10275	10901	10592	10589
134	10308	10916	10625	10621
135	10336	10951	10656	10653
136	10373	10979	10687	10686
137	10409	11006	10723	10719
138	10464	11028	10758	10754
139	10509	11067	10792	10789
140	10544	11087	10826	10822
141	10573	11114	10861	10856
142	10632	11139	10900	10894
143	10666	11175	10938	10931
144	10714	11191	10970	10964
145	10750	11225	11000	10998
146	10805	11249	11032	11031
147	10843	11289	11069	11065
148	10916	11308	11098	11101
149	10957	11346	11134	11137
150	11040	11378	11175	11183
151	11079	11449	11219	11229
152	11147	11530	11292	11303
153	11182	11709	11354	11376
154	11240	11770	11439	11457
155	11276	11909	11515	11537
156	11342	11969	11596	11609
157	11372	12085	11670	11682
158	11464	12161	11749	11765
159	11504	12287	11838	11849
160	11646	12372	11906	11931
161	11732	12464	11984	12014
162	11854	12520	12068	12099
163	11903	12589	12159	12184
164	11946	12605	12205	12229
165	11979	12630	12252	12275
166	12028	12648	12301	12320
167	12064	12676	12346	12365
168	12103	12696	12378	12401
169	12131	12738	12418	12437
170	12156	12768	12453	12465
171	12182	12803	12491	12493
172	12211	12827	12518	12520
173	12236	12863	12549	12547
174	12250	12882	12570	12564
175	12257	12903	12590	12581
175.00005	12257	12903	12590	12581
176	12257	12903	12590	12581
177	12257	12903	12590	12581
178	12257	12903	12590	12581
179	12257	12903	12590	12581
180	12257	12903	12590	12581
180.00005	12257	12903	12590	12581
181	12257	12903	12590	12581
182	12257	12903	12590	12581
183	12257	12903	12590	12581
184	12257	12903	12590	12581
185	12257	12903	12590	12581
185.00005	12319	12960	12625	12627
186	12356	12993	12665	12667
187	12390	13035	12705	12707
188	12442	13074	12742	12745
189	12470	13111	12776	12782
190	12517	13157	12805	12815
191	12549	13212	12838	12848
192	12595	13243	12871	12881
193	12627	13276	12903	12914
194	12674	13302	12934	12948
195	12713	13344	12967	12981
196	12768	13378	12997	13015
197	12807	13425	13028	13049
198	12875	13460	13056	13085
199	12921	13495	13089	13121
200	12979	13560	13153	13186
201	13010	13675	13213	13251
202	13069	13813	13296	13336
203	13098	14023	13370	13420
204	13150	14146	13463	13512
205	13185	14303	13552	13604
206	13262	14393	13646	13696
207	13304	14564	13731	13788
208	13388	14670	13823	13884
209	13436	14865	13928	13980
210	13532	14948	14032	14082
211	13587	15100	14134	14183
212	13672	15214	14226	14278
213	13712	15337	14327	14373
214	13794	15432	14416	14464
215	13854	15557	14514	14555
216	13933	15638	14603	14643
217	13998	15748	14684	14732
218	14097	15824	14790	14827
219	14155	15925	14893	14923
220	14263	16003	14984	15015
221	14312	16140	15080	15106
222	14440	16259	15193	15206
223	14516	16385	15291	15306
224	14645	16468	15406	15419
225	14720	16607	15517	15531
226	14808	16720	15644	15655
227	14893	16885	15769	15779
228	15042	17001	15899	15911
229	15122	17184	16022	16044
230	15244	17315	16138	16170
231	15320	17484	16274	16297
232	15434	17578	16398	16421
233	15502	17725	16521	16545
234	15610	17781	16642	16666
235	15716	17919	16765	16787
236	15861	18018	16884	16911
237	15971	18144	17008	17034
238	16089	18238	17141	17159
239	16183	18365	17278	17284
240	16316	18463	17405	17405
241	16436	18587	17544	17527
242	16606	18674	17672	17661
243	16697	18801	17802	17794
244	16832	18898	17924	17916
245	16938	19007	18060	18038
246	17104	19101	18196	18174
247	17236	19227	18341	18310
248	17368	19303	18463	18433
249	17488	19438	18593	18556
250	17648	19485	18712	18678
251	17758	19593	18839	18800
252	17956	19640	18952	18922
253	18116	19768	19078	19045
254	18242	19813	19162	19134
255	18313	19912	19249	19223
256	18443	19940	19321	19298
257	18525	20003	19402	19373
258	18655	20049	19470	19444
259	18732	20117	19533	19515
260	18867	20158	19602	19589
261	19008	20197	19679	19662
262	19136	20232	19744	19729
263	19218	20299	19811	19796
264	19380	20328	19867	19865
265	19473	20370	19940	19934
266	19621	20421	20001	20008
