depth	min	max	median	mean
39	6198	7128	6271	6397
40	6219	7144	6296	6419
41	6237	7163	6321	6441
42	6249	7190	6347	6463
43	6256	7216	6372	6485
44	6270	7238	6396	6507
45	6279	7264	6421	6529
46	6285	7292	6446	6551
47	6291	7320	6469	6574
48	6308	7346	6491	6597
49	6319	7373	6516	6619
50	6327	7399	6540	6642
51	6334	7427	6564	6665
52	6354	7450	6588	6688
53	6365	7477	6614	6712
54	6377	7511	6639	6736
55	6385	7546	6663	6759
56	6406	7568	6688	6783
57	6420	7593	6715	6807
58	6431	7622	6741	6831
59	6441	7657	6765	6855
60	6463	7683	6789	6880
61	6478	7710	6815	6905
62	6491	7742	6841	6929
63	6502	7777	6865	6954
64	6525	7802	6891	6979
65	6543	7829	6915	7005
66	6558	7864	6941	7031
67	6570	7899	6967	7056
68	6592	7930	6994	7082
69	6609	7959	7020	7107
70	6624	7996	7045	7132
71	6635	8034	7070	7157
72	6659	8062	7096	7183
73	6675	8091	7121	7209
74	6693	8127	7146	7235
75	6706	8169	7172	7260
76	6728	8195	7197	7285
77	6747	8228	7222	7311
78	6764	8264	7248	7336
79	6777	8301	7273	7361
80	6799	8329	7298	7386
81	6816	8361	7322	7412
82	6833	8398	7349	7437
83	6845	8440	7374	7462
84	6865	8470	7398	7487
85	6885	8502	7422	7512
86	6899	8542	7446	7537
87	6914	8583	7470	7562
88	6937	8620	7492	7587
89	6959	8651	7515	7612
90	6977	8690	7539	7637
91	6991	8736	7563	7662
92	7012	8773	7588	7687
93	7031	8804	7612	7712
94	7050	8841	7635	7737
95	7066	8883	7659	7762
96	7085	8913	7683	7787
97	7103	8945	7707	7812
98	7117	8977	7733	7836
99	7132	9017	7757	7861
100	7154	9044	7780	7885
101	7174	9083	7803	7910
102	7190	9118	7826	7934
103	7204	9158	7850	7959
104	7229	9192	7872	7983
105	7248	9226	7896	8008
106	7266	9263	7921	8032
107	7280	9307	7944	8057
108	7301	9338	7967	8081
109	7322	9372	7991	8106
110	7340	9411	8015	8130
111	7358	9456	8037	8154
112	7378	9490	8062	8178
113	7399	9533	8085	8202
114	7416	9567	8109	8226
115	7433	9602	8132	8250
116	7454	9642	8153	8274
117	7471	9669	8175	8297
118	7488	9702	8198	8320
119	7502	9735	8220	8344
120	7526	9762	8242	8367
121	7544	9796	8265	8390
122	7561	9836	8287	8413
123	7577	9868	8310	8435
124	7599	9897	8330	8458
125	7616	9928	8352	8481
126	7633	9957	8373	8503
127	7649	9996	8395	8526
128	7671	10028	8416	8548
129	7689	10060	8438	8570
130	7703	10093	8458	8592
131	7716	10125	8480	8614
132	7738	10159	8500	8636
133	7755	10187	8521	8658
134	7770	10220	8543	8679
135	7786	10244	8564	8701
136	7808	10270	8585	8723
137	7825	10299	8606	8746
138	7841	10325	8629	8768
139	7860	10372	8652	8790
140	7879	10392	8673	8811
141	7894	10417	8692	8833
142	7909	10436	8710	8854
143	7923	10463	8733	8876
144	7940	10485	8755	8897
145	7958	10521	8777	8918
146	7974	10550	8797	8940
147	7990	10586	8819	8961
148	8010	10610	8839	8982
149	8024	10638	8859	9003
150	8043	10666	8879	9024
151	8058	10698	8901	9044
152	8075	10725	8920	9065
153	8090	10754	8942	9086
154	8105	10783	8962	9107
155	8119	10815	8983	9128
156	8135	10847	9003	9149
157	8153	10876	9023	9170
158	8170	10903	9044	9191
159	8184	10936	9064	9212
160	8200	10963	9084	9233
161	8213	10987	9104	9254
162	8227	11013	9126	9275
163	8238	11036	9147	9296
164	8261	11057	9166	9316
165	8280	11084	9185	9336
166	8294	11107	9203	9357
167	8308	11135	9222	9377
168	8326	11163	9243	9397
169	8342	11190	9263	9418
170	8362	11223	9282	9438
171	8379	11263	9301	9458
172	8398	11283	9320	9479
173	8417	11310	9340	9499
174	8433	11339	9361	9519
175	8450	11372	9381	9539
176	8467	11395	9398	9560
177	8480	11425	9418	9580
178	8493	11450	9438	9600
179	8508	11486	9457	9621
180	8526	11511	9478	9641
181	8546	11547	9500	9662
182	8563	11577	9521	9682
183	8577	11607	9542	9702
184	8597	11632	9562	9722
185	8616	11650	9580	9743
186	8628	11682	9601	9763
187	8641	11713	9621	9783
188	8658	11737	9641	9803
189	8679	11765	9660	9824
190	8695	11793	9680	9844
191	8710	11826	9701	9865
192	8733	11848	9721	9885
193	8749	11869	9741	9905
194	8764	11894	9760	9926
195	8778	11916	9781	9946
196	8798	11943	9799	9966
197	8815	11965	9818	9986
198	8833	11994	9839	10007
199	8851	12019	9859	10027
200	8868	12038	9879	10047
201	8883	12060	9899	10068
202	8901	12083	9921	10088
203	8915	12118	9942	10109
204	8935	12138	9962	10129
205	8954	12161	9981	10149
206	8968	12188	10000	10169
207	8982	12215	10021	10190
