depth	min	max	median	mean
39	6000	6272	6147	6140
40	6051	6379	6218	6217
41	6073	6564	6288	6295
42	6197	6607	6379	6383
43	6251	6678	6475	6472
44	6379	6717	6550	6549
45	6437	6816	6626	6627
46	6495	6915	6690	6694
47	6522	7083	6745	6761
48	6591	7135	6824	6833
49	6618	7230	6897	6905
50	6665	7297	6961	6969
51	6694	7400	7021	7033
52	6748	7463	7099	7100
53	6783	7551	7169	7166
54	6844	7589	7233	7226
55	6874	7663	7296	7286
56	6969	7700	7363	7353
57	7010	7771	7432	7421
58	7069	7807	7490	7483
59	7134	7879	7552	7545
60	7223	7917	7608	7600
61	7283	7967	7664	7656
62	7390	7998	7740	7725
63	7449	8056	7811	7795
64	7592	8083	7870	7860
65	7658	8131	7940	7926
66	7795	8163	7982	7983
67	7881	8205	8031	8040
68	7924	8244	8073	8082
69	7947	8330	8113	8124
70	7991	8370	8159	8167
71	8018	8463	8198	8210
72	8052	8502	8237	8249
73	8071	8574	8277	8288
74	8109	8609	8321	8329
75	8131	8663	8362	8370
76	8162	8713	8398	8408
77	8181	8783	8437	8446
78	8219	8815	8475	8484
79	8242	8863	8516	8522
80	8277	8898	8551	8559
81	8303	8940	8588	8597
82	8345	8975	8626	8637
83	8373	9023	8673	8678
84	8417	9059	8713	8719
85	8448	9114	8753	8761
86	8485	9154	8802	8803
87	8515	9192	8845	8846
88	8561	9222	8885	8888
89	8606	9261	8927	8929
90	8648	9298	8971	8970
91	8683	9340	9014	9011
92	8734	9367	9053	9051
93	8762	9406	9097	9091
94	8807	9438	9135	9132
95	8837	9482	9175	9173
96	8900	9502	9218	9212
97	8930	9531	9259	9252
98	9000	9565	9302	9294
99	9037	9615	9345	9337
100	9089	9639	9384	9378
101	9128	9676	9426	9419
102	9190	9704	9463	9459
103	9227	9745	9504	9499
104	9332	9776	9540	9543
105	9384	9826	9579	9587
106	9477	9856	9615	9626
107	9505	9900	9654	9665
108	9540	9928	9693	9702
109	9560	9989	9728	9740
110	9588	10024	9762	9774
111	9603	10073	9798	9809
112	9635	10116	9831	9843
113	9654	10171	9864	9877
114	9682	10203	9900	9911
115	9701	10256	9932	9944
116	9735	10286	9967	9979
117	9755	10330	10001	10015
118	9781	10361	10038	10049
119	9803	10402	10074	10082
120	9848	10441	10110	10119
121	9875	10489	10145	10156
122	9902	10520	10182	10190
123	9922	10563	10218	10224
124	9956	10586	10256	10258
125	9983	10625	10288	10293
126	10010	10667	10324	10328
127	10032	10706	10361	10363
