depth	min	max	median	mean
128	10072	10740	10393	10399
129	10096	10780	10436	10435
130	10145	10803	10470	10470
131	10168	10843	10504	10505
132	10202	10879	10540	10543
133	10237	10933	10575	10580
134	10285	10962	10613	10616
135	10312	11002	10649	10652
136	10356	11028	10687	10688
137	10397	11063	10726	10723
138	10435	11114	10761	10759
139	10466	11162	10798	10794
140	10523	11201	10829	10830
141	10554	11233	10862	10866
142	10602	11272	10896	10899
143	10635	11317	10932	10933
144	10689	11355	10966	10969
145	10721	11390	11002	11005
146	10790	11447	11036	11042
147	10825	11495	11074	11079
148	10895	11522	11105	11115
149	10927	11553	11140	11150
150	11028	11586	11178	11195
151	11060	11642	11220	11239
152	11134	11717	11289	11312
153	11167	11812	11349	11385
154	11238	11890	11446	11473
155	11268	12055	11529	11561
156	11338	12114	11623	11648
157	11380	12223	11715	11734
158	11467	12285	11789	11811
159	11513	12372	11865	11888
160	11662	12426	11946	11973
161	11749	12503	12029	12059
162	11878	12547	12126	12151
163	11927	12628	12239	12242
164	11980	12645	12298	12294
165	12020	12668	12357	12346
166	12075	12680	12419	12393
167	12113	12700	12478	12441
168	12146	12724	12520	12480
169	12182	12754	12556	12520
170	12222	12783	12585	12552
171	12247	12831	12613	12585
172	12279	12863	12639	12615
173	12305	12899	12666	12645
174	12324	12919	12681	12663
175	12337	12942	12697	12681
175.00005	12337	12942	12697	12681
176	12337	12942	12697	12681
177	12337	12942	12697	12681
178	12337	12942	12697	12681
179	12337	12942	12697	12681
180	12337	12942	12697	12681
181	12337	12942	12697	12681
182	12337	12942	12697	12681
183	12337	12942	12697	12681
184	12337	12942	12697	12681
185	12337	12942	12697	12681
186	12337	12942	12697	12681
187	12337	12942	12697	12681
188	12337	12942	12697	12681
189	12337	12942	12697	12681
190	12337	12942	12697	12681
190.00005	12429	13029	12737	12739
191	12486	13062	12783	12783
192	12529	13147	12820	12828
193	12583	13183	12855	12867
194	12622	13238	12897	12907
195	12682	13285	12931	12946
196	12730	13334	12971	12986
197	12789	13373	13004	13024
198	12838	13409	13039	13063
199	12922	13462	13087	13115
200	12965	13525	13139	13168
201	13031	13617	13217	13247
202	13058	13804	13286	13327
203	13125	13924	13378	13421
204	13164	14167	13467	13515
205	13239	14272	13566	13614
206	13283	14433	13661	13713
207	13358	14534	13767	13810
208	13410	14682	13858	13908
209	13492	14768	13957	14003
210	13544	14897	14058	14099
211	13619	14989	14154	14196
212	13682	15130	14247	14292
213	13766	15238	14353	14394
214	13827	15412	14454	14496
215	13923	15528	14554	14596
216	13998	15609	14661	14696
217	14099	15693	14760	14791
218	14155	15856	14856	14887
219	14257	15948	14970	14987
220	14318	16048	15063	15087
221	14434	16172	15160	15183
222	14501	16310	15259	15279
223	14641	16409	15365	15382
224	14714	16530	15471	15485
225	14819	16632	15577	15600
226	14886	16776	15681	15715
227	14994	16873	15800	15830
228	15098	17032	15907	15945
229	15207	17106	16021	16055
230	15302	17230	16135	16165
231	15410	17331	16257	16288
232	15516	17480	16394	16411
233	15636	17577	16503	16530
234	15735	17703	16636	16649
235	15831	17777	16751	16762
236	15933	17921	16854	16876
237	16085	18013	16978	16996
238	16165	18125	17106	17117
239	16286	18216	17239	17237
240	16355	18337	17360	17358
241	16523	18434	17486	17484
242	16626	18552	17612	17609
243	16803	18631	17748	17734
244	16899	18747	17875	17859
245	17028	18835	17984	17975
246	17114	18970	18106	18092
247	17290	19060	18237	18212
248	17413	19147	18354	18331
249	17553	19216	18480	18448
250	17648	19341	18594	18564
251	17814	19421	18708	18682
252	17900	19510	18830	18800
253	18071	19570	18944	18915
254	18217	19676	19069	19029
255	18345	19723	19146	19115
256	18457	19801	19232	19201
257	18573	19850	19296	19276
258	18663	19901	19365	19351
259	18778	19937	19438	19427
260	18858	19995	19520	19502
261	18999	20036	19592	19577
262	19092	20083	19674	19652
263	19218	20129	19745	19725
264	19312	20195	19822	19798
265	19481	20244	19887	19872
266	19592	20295	19959	19946
