Depth sed [m],"Cal age min [ka BP] (CLAM_min95, Classical age-mod...)","Cal age max [ka BP] (CLAM_max95, Classical age-mod...)","Cal age [ka BP] (CLAM_best, Classical age-mode...)",Accu model [a/cm] (Classical age-modeling approa...),Age model type,Sample ID (ACER sample ID),"A. caven [#] (Counting, palynology)","Acaena [#] (Counting, palynology)","Chen/Amar [#] (Counting, palynology)","Apiae [#] (Counting, palynology)","A. chilensis [#] (Counting, palynology)","Astae [#] (Liguliflorae, Counting, palyn...)","Astae [#] (Tubuliflorae, Counting, palyn...)","A. chilensis-T [#] (Counting, palynology)","Ber [#] (Counting, palynology)","Braae [#] (Counting, palynology)","Calycera [#] (Counting, palynology)","Cphae [#] (Counting, palynology)","Cypae [#] (Counting, palynology)","D. winteri [#] (Counting, palynology)","Elo [#] (Counting, palynology)","E. coccineum [#] (Counting, palynology)","E. andina [#] (Counting, palynology)","Eriae [#] (Counting, palynology)","Gen [#] (Counting, palynology)","Gea [#] (Counting, palynology)","G. chilensis [#] (Counting, palynology)","I. savatieri [#] (Counting, palynology)","Kageneckia [#] (Counting, palynology)","Krameria [#] (Counting, palynology)","Lamae [#] (Counting, palynology)","Leg [#] (Counting, palynology)","L. guaicuru [#] (Counting, palynology)","L. caustica [#] (Counting, palynology)","Lomatia [#] (Counting, palynology)","L. paniculatum [#] (Counting, palynology)","Malvae [#] (Counting, palynology)","Maytenus [#] (Counting, palynology)","Misodendrum [#] (Counting, palynology)","Muehlenbeckia [#] (Counting, palynology)","Mutisia [#] (Counting, palynology)","Myo [#] (Counting, palynology)","Mytae [#] (Counting, palynology)","N. depressa [#] (Counting, palynology)","N. dombeyi-T [#] (Counting, palynology)","N. obliqua-T [#] (Counting, palynology)","Onaae [#] (Counting, palynology)","Phrygilanthus [#] (Counting, palynology)","Pla [#] (Counting, palynology)","Poac [#] (Counting, palynology)","P. salignus [#] (Counting, palynology)","Pocae [#] (Counting, palynology)","P. feuillei [#] (Counting, palynology)","Pot [#] (Counting, palynology)","P. splendens [#] (Counting, palynology)","P. andina [#] (Counting, palynology)","P. chilensis [#] (Counting, palynology)","Quinchamalium [#] (Counting, palynology)","Ranae [#] (Counting, palynology)","Rosae [#] (Counting, palynology)","Rubae [#] (Counting, palynology)","Rum [#] (Counting, palynology)","Schinus [#] (Counting, palynology)","Typ.a [#] (Counting, palynology)","Utr [#] (Counting, palynology)","Val [#] (Counting, palynology)","Viviania [#] (Counting, palynology)","W. trichosperma [#] (Counting, palynology)","Wendtia [#] (Counting, palynology)"
0,NA,NA,NA,NA,,11240,0,0,53,6,0,9,19,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,17,0,4,0,0,0,2,8,0,0,0,0,0,0,6,4,0,0,0,0
0.1,NA,NA,NA,NA,,11241,0,3,25,17,0,3,29,0,0,0,0,0,6,0,0,0,1,0,0,0,8,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,5,0,0,0,0,24,0,5,0,0,0,0,19,0,0,0,0,0,0,18,0,0,0,0,0
0.2,NA,NA,NA,NA,,11242,0,0,7,21,0,3,7,0,0,0,0,0,7,2,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,3,43,0,3,0,0,0,2,8,0,0,0,0,3,0,29,0,0,0,0,0
0.3,NA,NA,NA,NA,,11243,0,0,12,25,0,2,13,0,0,0,0,0,2,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,8,0,0,0,0,32,3,3,0,0,0,0,39,0,2,0,3,3,0,58,0,0,3,0,0
0.4,NA,NA,NA,NA,,11244,0,3,10,27,3,3,14,0,0,3,0,0,2,4,0,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,10,0,0,0,3,26,0,18,0,0,0,0,38,0,0,0,0,0,0,53,0,0,0,0,0
0.5,NA,NA,NA,NA,,11245,0,0,28,11,0,2,6,0,0,0,0,0,10,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,7,0,0,0,0,30,0,0,0,0,0,0,13,0,0,0,0,0,0,21,0,0,0,0,0
0.6,NA,NA,NA,NA,,11246,0,0,84,5,0,2,3,0,0,2,0,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,12,0,3,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0
0.7,NA,NA,NA,NA,,11247,0,0,74,10,0,2,6,0,0,2,0,0,10,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0
0.8,NA,NA,NA,NA,,11248,0,0,88,4,0,1,5,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0
0.9,NA,NA,NA,NA,,11249,0,0,99,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0
1,NA,NA,NA,NA,,11250,0,0,79,6,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0
1.1,NA,NA,NA,NA,,11251,0,0,92,5,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0
1.2,NA,NA,NA,NA,,11252,0,0,89,7,0,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,3,0,0,0,0,8,0,0,0,0,0,0,41,0,0,0,0,0
1.3,NA,NA,NA,NA,,11253,0,0,92,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,39,0,0,0,0,0
1.4,NA,NA,NA,NA,,11254,0,0,76,12,0,0,8,0,0,0,0,0,3,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,3,9,0,3,0,0,0,0,6,0,0,0,0,0,0,30,0,0,0,0,0
1.5,NA,NA,NA,NA,,11255,0,0,38,15,0,2,11,0,0,0,0,0,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,2,0,0,0,26,0,3,0,2,0,0,10,0,0,0,0,0,0,23,0,4,0,0,0
1.6,NA,NA,NA,NA,,11256,0,0,32,21,0,2,12,0,0,3,0,2,17,0,0,0,1,0,0,0,8,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,3,0,3,2,0,0,0,30,0,9,0,0,0,2,23,0,0,0,0,0,0,6,0,0,0,0,0
1.7,NA,NA,NA,NA,,11257,0,0,42,15,0,2,14,0,0,2,0,0,3,4,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,3,0,5,0,0,0,0,26,0,4,0,0,0,2,12,0,0,0,0,0,0,12,0,0,0,0,0
1.8,NA,NA,NA,NA,,11258,0,0,53,3,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,2,0,0,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,5,1,0,0,0,0,0,0,0,5,0,0,0,0
1.9,NA,NA,NA,NA,,11259,0,0,68,2,0,2,17,0,0,2,0,0,5,0,0,0,1,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,5,2,0,0,2,0,5,1,0,0,0,0,0,0,0,11,0,0,0,0
2,NA,NA,NA,NA,,11260,0,0,67,2,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,2,0,9,2,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0
2.1,NA,NA,NA,NA,,11261,0,0,71,3,0,0,10,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,7,0,4,0,0,6,0,0,0,0,0,12,2,0,0,0,0,0,0,0,11,0,0,0,0
2.2,10.497,12.389,11.4065,165.416,Linear interpolation,11262,0,0,56,3,0,0,8,0,0,0,0,0,2,4,0,0,1,0,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,2,0,0,12,0,0,0,0,11,3,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0
2.3,12.489,13.676,13.0606,238.862,Linear interpolation,11263,0,0,40,10,0,2,14,0,0,0,0,0,7,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,7,0,0,0,0,26,0,4,0,0,0,3,0,0,0,0,4,0,0,14,0,0,0,0,0
2.4,14.215,16.6652,15.4492,43.67,Linear interpolation,11264,0,3,22,3,0,0,6,0,0,0,0,2,14,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,18,0,4,0,0,30,12,3,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0
2.5,14.8835,16.8715,15.8859,43.67,Linear interpolation,11265,0,2,18,2,0,2,10,0,0,0,0,2,8,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,2,18,0,0,0,0,37,3,4,0,0,0,22,0,0,0,0,4,3,0,0,0,0,0,0,0
2.6,15.4905,17.1231,16.3226,43.67,Linear interpolation,11266,0,2,20,3,0,0,7,0,0,0,0,2,11,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,42,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7,16.0191,17.4546,16.7593,43.67,Linear interpolation,11267,0,2,27,3,0,0,9,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,21,0,4,0,0,13,10,0,0,2,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0
2.8,16.4213,17.9039,17.196,43.67,Linear interpolation,11268,0,0,21,2,0,2,16,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,18,0,4,0,0,14,5,0,0,0,0,24,2,0,0,0,0,0,0,1,0,0,1,0,0
2.9,16.7278,18.4572,17.6327,74.389,Linear interpolation,11269,0,0,19,2,0,0,15,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,22,0,3,0,0,12,5,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17.5498,19.1321,18.3766,74.389,Linear interpolation,11270,0,4,8,7,0,2,25,0,0,2,0,2,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,28,1,3,0,0,8,2,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,18.349,19.8322,19.1205,74.389,Linear interpolation,11271,0,5,7,3,0,0,19,0,0,0,3,0,12,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,4,0,0,32,1,4,0,0,18,2,3,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0
3.2,19.1335,20.5633,19.8644,74.389,Linear interpolation,11272,0,6,6,3,0,0,21,0,0,0,2,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,0,0,24,9,0,0,3,23,0,0,0,0,0,23,0,0,0,4,0,0,0,1,0,3,0,0,0
3.3,19.8802,21.3205,20.6083,74.389,Linear interpolation,11273,0,6,5,2,0,2,24,0,0,0,2,2,13,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,3,0,23,9,4,0,3,25,3,0,0,0,0,20,0,0,0,2,0,0,0,0,0,3,0,0,0
3.4,20.584,22.1233,21.3521,74.389,Linear interpolation,11274,0,5,9,2,0,0,16,0,0,0,2,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,6,0,0,27,5,0,0,2,17,3,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0
3.5,21.2606,22.9296,22.096,74.389,Linear interpolation,11275,0,6,8,3,0,2,21,0,0,0,2,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,2,0,0,30,7,0,0,0,19,3,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6,21.9214,23.765,22.8399,74.389,Linear interpolation,11276,0,5,6,2,0,0,24,0,0,0,0,3,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,2,0,26,5,4,0,3,27,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7,22.5628,24.6072,23.5838,74.389,Linear interpolation,11277,0,5,6,2,0,0,24,0,0,0,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,0,0,1,0,0,26,7,0,0,0,27,3,2,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0
3.8,23.1992,25.4611,24.3277,74.389,Linear interpolation,11278,0,4,6,2,0,0,25,0,0,0,3,2,11,2,0,0,1,0,1,0,0,2,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,0,23,5,0,0,0,23,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0
3.9,23.8208,26.3281,25.0716,74.389,Linear interpolation,11279,0,4,3,2,0,1,21,0,0,0,2,1,6,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,23,5,0,0,2,24,4,0,0,0,0,14,3,0,0,2,2,0,2,0,0,2,0,0,0
4,24.4388,27.1963,25.8154,63.016,Linear interpolation,11280,0,3,3,3,0,0,22,0,0,2,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,2,0,2,0,0,30,5,0,0,3,31,0,2,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0
4.1,25.2088,27.7054,26.4456,63.016,Linear interpolation,11281,0,3,12,4,0,0,18,0,0,0,2,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,2,0,33,5,0,0,2,23,0,0,0,0,0,11,0,0,0,2,4,0,0,0,0,3,0,0,0
4.2,25.9178,28.2506,27.0758,63.016,Linear interpolation,11282,0,4,7,3,0,2,27,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,6,2,0,32,7,0,0,2,27,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,26.6023,28.8443,27.7059,63.016,Linear interpolation,11283,0,4,8,3,0,2,17,0,0,0,2,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,2,0,4,2,0,34,11,0,0,2,19,3,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,2
4.4,27.2012,29.4705,28.3361,63.016,Linear interpolation,11284,0,4,5,3,0,2,15,0,0,0,0,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,0,0,6,0,0,28,5,0,0,3,19,3,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0
4.5,27.7669,30.1606,28.9662,63.016,Linear interpolation,11285,0,6,7,3,0,0,29,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,34,11,0,0,0,19,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4.6,28.284,30.9092,29.5964,63.016,Linear interpolation,11286,0,8,11,3,0,1,21,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,34,7,0,0,2,19,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0
4.7,28.7442,31.6528,30.2266,63.016,Linear interpolation,11287,0,4,6,3,0,1,22,0,0,0,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,3,0,0,0,5,0,0,1,2,2,0,31,7,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,2
4.8,29.1845,32.4549,30.8567,63.016,Linear interpolation,11288,0,3,11,2,0,1,22,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0,30,5,0,0,0,19,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
4.9,29.6121,33.2651,31.4869,63.016,Linear interpolation,11289,0,3,9,1,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,3,0,0,0,1,2,0,27,11,0,0,1,24,4,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0
5,30.0514,34.1014,32.117,19.718,Linear interpolation,11290,0,2,26,2,0,2,20,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,5,0,0,0,1,2,0,22,4,0,0,2,16,0,2,0,0,0,7,0,0,0,0,4,1,0,0,0,0,0,0,0
5.1,30.438,34.1678,32.3142,19.718,Linear interpolation,11291,0,3,38,5,0,2,21,2,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,18,7,0,0,0,16,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
5.2,30.8035,34.2549,32.5114,19.718,Linear interpolation,11292,0,2,33,2,0,2,17,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,20,7,0,0,0,18,7,0,0,0,0,7,0,0,0,2,0,0,0,0,3,3,0,0,0
5.3,31.1172,34.3683,32.7086,19.718,Linear interpolation,11293,0,2,58,2,0,0,10,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,4,0,0,14,7,0,0,1,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
5.4,31.3904,34.5065,32.9057,19.718,Linear interpolation,11294,0,2,39,2,0,0,19,0,0,0,2,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,1,4,0,0,16,4,0,0,0,17,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2
5.5,31.6415,34.6783,33.1029,19.718,Linear interpolation,11295,0,2,39,2,0,0,13,0,0,0,2,2,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,1,14,0,0,16,9,0,0,0,16,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
5.6,31.8077,34.8949,33.3001,19.718,Linear interpolation,11296,0,2,44,1,0,0,12,0,0,0,0,0,3,2,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,3,7,0,0,1,6,0,0,13,5,0,0,1,13,5,0,0,0,0,4,0,0,0,0,0,3,0,0,2,0,0,0,0
5.7,31.9502,35.1132,33.4973,19.718,Linear interpolation,11297,0,2,44,2,0,0,15,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,5,0,2,0,9,1,0,15,5,0,0,1,13,2,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,1,0
5.8,32.0736,35.3888,33.6944,19.718,Linear interpolation,11298,0,2,26,2,0,1,10,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,8,0,2,0,3,0,0,20,7,0,0,0,26,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
5.9,32.1799,35.6943,33.8916,19.718,Linear interpolation,11299,0,0,26,2,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,0,20,4,0,0,1,21,0,0,0,0,0,3,0,0,0,1,0,1,0,0,3,0,0,0,0
6,32.2678,36.0298,34.0888,45.699,Linear interpolation,11300,0,3,27,2,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,5,1,0,15,10,0,0,3,19,2,0,5,0,0,5,0,0,0,2,0,3,0,0,3,0,0,0,0
6.1,32.917,36.3288,34.5458,45.699,Linear interpolation,11301,0,0,48,2,0,0,11,0,0,0,2,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,5,0,0,3,5,0,0,1,4,2,0,11,7,0,0,0,9,2,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0
6.2,33.4667,36.6999,35.0028,45.699,Linear interpolation,11302,0,0,59,3,0,0,8,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,0,2,3,0,0,11,4,0,2,1,9,2,0,0,0,0,5,0,0,0,2,0,3,0,0,2,0,0,0,0
6.3,33.931,37.152,35.4598,45.699,Linear interpolation,11303,0,2,44,1,0,2,14,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,1,7,2,0,16,5,0,0,0,11,2,0,0,0,0,4,0,0,0,2,0,3,0,0,2,0,0,0,0
