depth,11.427433,11.228118,11.028802,10.829485,10.630171,10.430854,10.231538,10.032222,9.832907,9.633592,9.434276,9.23496,9.035644,8.836328,8.637013,8.437698,8.238382,8.039066,7.83975,7.640435,7.441119,7.241803,7.042488,6.843172,6.643856,6.444541,6.245225,6.045909,5.846593,5.647278,5.447962,5.248646,5.049331,4.850015,4.650699,4.451384,4.252068,4.052752,3.853437,3.654121,3.454805,3.25549,3.056174,2.856858,2.657542,2.458227,2.258911,2.059595,1.86028,1.660964,1.461648,1.262333,1.063017,0.863701,0.664386,0.46507,0.265754,0.066439,-0.132877,-0.332193,-0.531508,-0.730824,-0.93014,-1.129456
38,0,0,0.195626,0.319319,0.407413,0.48237,0.536039,0.584034,0.639957,0.719537,0.837245,0.996502,1.192964,1.409725,1.630377,1.841702,2.036566,2.212891,2.369903,2.511042,2.635865,2.747137,2.842695,2.925861,2.997363,3.063699,3.126929,3.19136,3.25518,3.316737,3.368246,3.401308,3.405316,3.371244,3.293305,3.170154,3.006268,2.810774,2.593217,2.364347,2.126633,1.886436,1.642606,1.406344,1.181914,0.987689,0.829329,0.719212,0.655299,0.634919,0.647854,0.679445,0.712665,0.730039,0.717817,0.668766,0.583661,0.472173,0.348757,0.232495,0.161881,0.099362,0.053624,0.010868
43,0,0.084446,0.211261,0.322825,0.4093,0.478067,0.530171,0.575997,0.629046,0.702768,0.809945,0.952928,1.126811,1.315094,1.501542,1.673015,1.822336,1.947282,2.047743,2.127248,2.187512,2.232153,2.262921,2.284605,2.302639,2.324972,2.357745,2.406563,2.471621,2.552266,2.641208,2.731652,2.813103,2.877305,2.916042,2.924656,2.901715,2.848511,2.766885,2.658437,2.520715,2.35492,2.160367,1.949073,1.729442,1.523986,1.342584,1.202793,1.106678,1.057673,1.050689,1.076546,1.120922,1.166285,1.195841,1.195819,1.158561,1.081675,0.968774,0.825685,0.660655,0.483022,0.27238,0.064577
47,0.005738,0.093019,0.222706,0.345092,0.447507,0.531786,0.59862,0.658324,0.727268,0.8222,0.96059,1.147603,1.378701,1.631663,1.881288,2.10449,2.286191,2.419263,2.502184,2.53992,2.5388,2.507153,2.455278,2.394194,2.339934,2.305861,2.304823,2.342828,2.418612,2.527562,2.656963,2.79657,2.932977,3.058097,3.163743,3.245005,3.296699,3.311985,3.281554,3.194128,3.037595,2.810317,2.515742,2.180897,1.828231,1.499702,1.212299,0.990314,0.830124,0.729441,0.672725,0.643206,0.619176,0.580762,0.511505,0.407462,0.274395,0.143195,0.082278,0.040173,0.013541,0,0,0
51,0.006873,0.110068,0.242192,0.365134,0.465969,0.546658,0.607993,0.660864,0.722053,0.809114,0.940036,1.120691,1.346873,1.596443,1.84374,2.064822,2.243488,2.371417,2.446208,2.472253,2.456157,2.406714,2.335832,2.255695,2.18472,2.138221,2.132711,2.178375,2.278523,2.433265,2.630892,2.860227,3.099566,3.32984,3.526922,3.670958,3.745003,3.7379,3.644939,3.468371,3.212815,2.895654,2.53184,2.155391,1.785741,1.457625,1.177632,0.960258,0.79522,0.677535,0.592343,0.527987,0.469787,0.408331,0.33407,0.253975,0.156012,0.083133,0.015442,0.011489,0,0,0,0
54,0.00861,0.136656,0.281759,0.407731,0.50531,0.580114,0.633253,0.676368,0.725431,0.797341,0.908539,1.064231,1.260455,1.47827,1.696605,1.896066,2.063336,2.191184,2.27662,2.322563,2.333299,2.316024,2.280096,2.236561,2.200625,2.185871,2.204517,2.26381,2.363115,2.499758,2.661157,2.836532,3.008782,3.165505,3.293436,3.384333,3.432447,3.434081,3.385806,3.283445,3.120648,2.898797,2.620468,2.307726,1.976785,1.662491,1.377499,1.143917,0.95787,0.819659,0.71719,0.641347,0.579349,0.522899,0.464866,0.402524,0.335559,0.265924,0.196733,0.12962,0.085055,0.056872,0.029995,0.006567
58,0.011264,0.177282,0.341282,0.479101,0.582007,0.657437,0.706439,0.741772,0.780002,0.839226,0.936349,1.077054,1.257367,1.459248,1.663279,1.852409,2.015502,2.146851,2.244022,2.309844,2.347524,2.363586,2.365293,2.362845,2.368333,2.394364,2.449532,2.539377,2.658796,2.800923,2.948068,3.084985,3.19265,3.258295,3.272974,3.235259,3.149625,3.024323,2.867087,2.685225,2.479381,2.254996,2.013086,1.768602,1.530092,1.32,1.145557,1.019704,0.938618,0.898612,0.888501,0.894282,0.898659,0.884087,0.836009,0.746154,0.619382,0.461412,0.298517,0.21288,0.140064,0.064483,0.033487,0.006634
62,0.007094,0.113018,0.240608,0.346103,0.423076,0.477961,0.511579,0.534712,0.560931,0.605286,0.681629,0.794742,0.941476,1.107354,1.276975,1.437045,1.579109,1.699089,1.795357,1.870867,1.928319,1.973807,2.012719,2.054149,2.106303,2.180083,2.279941,2.411512,2.569327,2.75023,2.939678,3.127057,3.295275,3.432753,3.52807,3.575834,3.574777,3.527212,3.436295,3.30507,3.132191,2.92095,2.671411,2.398144,2.109133,1.829839,1.569046,1.348038,1.16771,1.035003,0.944197,0.888407,0.852423,0.819996,0.774022,0.702469,0.601774,0.476959,0.344915,0.221983,0.123832,0.040931,0.014205,0
66,0,0,0.179156,0.273379,0.359466,0.415378,0.45877,0.491133,0.527294,0.579076,0.6588,0.769882,0.909109,1.063208,1.218677,1.364388,1.493934,1.605032,1.697594,1.77569,1.842764,1.905499,1.968821,2.041618,2.129572,2.241942,2.378247,2.540597,2.71773,2.902219,3.075893,3.226372,3.33813,3.402949,3.416312,3.380568,3.303206,3.194991,3.065907,2.924353,2.771117,2.607627,2.429342,2.240558,2.040859,1.843739,1.65385,1.488208,1.351526,1.254377,1.197226,1.175691,1.17371,1.167759,1.130044,1.037107,0.880084,0.665486,0.429582,0.257597,0.173884,0.11459,0.064539,0.013842
70,0,0.073832,0.190941,0.291311,0.365184,0.418894,0.452476,0.475715,0.500821,0.541483,0.610407,0.712194,0.844402,0.994551,1.149601,1.298677,1.435404,1.557425,1.664274,1.75964,1.845922,1.929047,2.01215,2.102917,2.204786,2.325738,2.463825,2.620836,2.786298,2.95433,3.109888,3.243953,3.345332,3.409703,3.435629,3.426674,3.388751,3.327775,3.246497,3.14423,3.014567,2.854736,2.661676,2.446572,2.217903,1.998511,1.796875,1.629,1.492765,1.388587,1.305169,1.229519,1.141872,1.024994,0.864777,0.658267,0.418975,0.164977,0.028744,0,0,0,0,0
