id_sample,id_cm,depth,min,max,median,mean,clay,silt_fine,silt_coarse,sand,TC,TIC,TOC,TN,TS,d13C,d18O,
TAGUA TAGUA 154,154-155 cm,154,11160,11840,11442,11455,8.176,20.546,36.605,34.672,5.62,5.49,0.13,0.056,0.00257,1.01866731748532,-0.293136138980984,
TAGUA TAGUA 158,158-159 cm,158,11332,12412,11945,11917,8.562,21.209,29.942,40.287,3.66,3.58,0.08,0.0445,0.00259,0.072218806510153,-0.553197622445254,
TAGUA TAGUA 162,162-163 cm,162,11930,12531,12249,12285,9.634,22.604,29.309,38.454,2.03,2.04,-0.01,0.0371,0.00666,-2.2370499975219,-1.13636519253136,
TAGUA TAGUA 166,166-167 cm,166,12104,12668,12472,12459,11.004,25.217,27.943,35.836,1.12,1.07,0.05,0.036,0.00691,-4.90732026908949,-1.27112966000826,
TAGUA TAGUA 170,170-171 cm,170,12199,12739,12583,12551,9.111,21.045,22.919,46.924,0.516,0.46,0.06,0.0296,0.0104,-5.31163783986785,-2.36752186182948,
TAGUA TAGUA 174,174-175 cm,174,12262,12872,12650,12624,9.179,20.555,23.943,46.322,0.362,0.19,0.172,0.0357,0.0101,-6.96994945036329,-2.56814781664207,
TAGUA TAGUA 178,178-179 cm,178,12341,12997,12711,12698,8.969,20.204,20.131,50.696,0.273,0.19,0.083,0.031,0.0157,-6.42852024381835,-3.20599764191858,
TAGUA TAGUA 182,182-183 cm,182,12440,13109,12777,12774,10.634,23.86,23.141,42.365,0.249,0.24,0.009,0.0314,0.0182,-6.84408539064208,-5.09581717266358,
TAGUA TAGUA 186,186-187 cm,186,12547,13231,12844,12851,13.768,29.65,27.945,28.637,0.335,0.37,0,0.0353,0.00558,-6.63582104549278,-1.88729247797123,
TAGUA TAGUA 190,190-191 cm,190,12656,13340,12909,12928,12.278,28.371,22.027,37.324,0.426,0.31,0.116,0.0271,0.00466,-7.16533409839112,-2.85133120122866,
TAGUA TAGUA 194,194-195 cm,194,12757,13485,12973,13003,12.587,28.185,23.687,35.541,0.467,0.31,0.157,0.0299,0.00383,-6.66620616005156,-2.28131767322714,
TAGUA TAGUA 198,198-199 cm,198,12870,13617,13037,13079,11.634,28.206,22.231,37.928,0.303,0.18,0.123,0.0275,0.00324,-7.31388857279053,-2.56630786724343,
TAGUA TAGUA 202,202-203 cm,202,13019,13948,13223,13285,13.425,30.056,25.866,30.653,0.296,0.22,0.076,0.027,0.00318,-7.61496275605459,-2.47479652768398,
TAGUA TAGUA 206,206-207 cm,206,13153,14424,13545,13606,12.68,30.898,25.252,31.169,0.315,0.16,0.155,0.0218,0.00739,-6.11196740872855,-2.34973355513075,
TAGUA TAGUA 210,210-211 cm,210,13316,15020,13904,13972,12.632,31.214,21.533,34.622,0.508,0.41,0.098,0.0349,0.0052,-7.47353069687289,-3.04869545426482,
TAGUA TAGUA 214,214-215 cm,214,13507,15550,14277,14340,13.203,33.956,23.872,28.968,0.358,0.29,0.068,0.0247,0.00639,-6.57084762667846,-2.90769800847306,
TAGUA TAGUA 218,218-219 cm,218,13694,16049,14638,14700,14.438,31.201,15.963,38.398,0.425,0.35,0.075,0.0248,0.00722,-6.1555099871984,-2.26334300988037,
TAGUA TAGUA 222,222-223 cm,222,13938,16474,14995,15055,11.454,24.48,14.936,49.13,0.246,0.18,0.066,0.0227,0.00185,-6.89907736255925,-2.55134722320724,
TAGUA TAGUA 226,226-227 cm,226,14371,16974,15534,15570,12.091,26.872,13.785,47.252,0.599,0.48,0.119,0.0294,0.00351,-6.06416965733562,-1.88380801134743,
TAGUA TAGUA 230,230-231 cm,230,14841,17627,16099,16126,11.346,24.077,13.741,50.836,0.818,0.71,0.108,0.0244,0.00653,-8.67795460124323,-3.45194485316931,
TAGUA TAGUA 234,234-235 cm,234,15301,18153,16667,16680,6.062,19.92,12.84,61.177,0.316,0.41,0,0.0221,0.00371,-9.53567677897891,-3.92590359825889,
TAGUA TAGUA 238,238-239 cm,238,15747,18691,17272,17258,5.088,18.41,12.436,64.066,0.0138,0.02,0,0.0239,0.00577,-9.38870303394971,-5.43057644720961,
TAGUA TAGUA 242,242-243 cm,242,16418,19032,17870,17834,3.792,10.738,9.508,75.962,0.0617,0,0.0617,0.0313,0.0131,-9.81231681653598,-8.61849671559189,
TAGUA TAGUA 246,246-247 cm,246,17099,19383,18439,18385,3.305,9.538,9.533,77.624,0.104,0,0.104,0.0205,0.014,-8.7652034335107,-5.60472543694214,
TAGUA TAGUA 250,250-251 cm,250,17921,19672,18976,18933,16.041,38.965,25.213,19.78,0,0.09,0,0.0204,0.775,-10.2805053576826,-7.4285919902176,
TAGUA TAGUA 254,254-255 cm,254,18479,19956,19486,19398,13.497,33.995,15.901,36.607,0.00241,0,0.00241,0.0289,0.00882,-10.6505086779902,-5.76188631674823,
TAGUA TAGUA 258,258-259 cm,258,18870,20076,19656,19601,18.136,60.494,19.334,2.037,0.079,0.06,0.019,0.0233,0.167,-9.31285146921185,-4.41990667280148,
TAGUA TAGUA 262,262-263 cm,262,19306,20173,19807,19785,21.931,59.62,14.435,4.013,0.2,0.29,0,0.0238,0.0104,-9.61149915727797,-4.39028675529566,
TAGUA TAGUA 266,266-267 cm,266,19620,20309,19975,19970,25.279,50.424,12.135,12.162,0.238,0.29,0,0.0263,0.156,-11.4885493391023,-4.87755140542383,
