taxon,38,43,47,51,54,58,62,70,78,86,94,102,110,118,126,134,142,150,158,166,174,182,190,198,206,214,222,230,238,246,254,262
Cyperaceae,3086.95928080381,2866.46218931782,1763.97673188789,2866.46218931782,3086.95928080381,1543.4796404019,1102.48545742993,440.994182971973,0,0,220.497091485986,0,440.994182971973,0,0,0,0,0,0,220.497091485986,0,0,0,220.497091485986,220.497091485986,0,0,0,0,0,0,0
Juncaceae,1102.48545742993,440.994182971973,661.491274457959,220.497091485986,0,220.497091485986,0,440.994182971973,0,0,220.497091485986,0,0,0,220.497091485986,0,0,0,220.497091485986,0,0,0,0,220.497091485986,0,0,0,0,0,0,0,0
Typha,9701.87202538339,7496.90111052353,10142.8662083554,8599.38656795347,7496.90111052353,12347.8371232152,2866.46218931782,3748.45055526177,1543.4796404019,2425.46800634585,1543.4796404019,661.491274457959,661.491274457959,661.491274457959,661.491274457959,0,0,220.497091485986,440.994182971973,661.491274457959,661.491274457959,440.994182971973,0,661.491274457959,440.994182971973,1102.48545742993,1102.48545742993,440.994182971973,0,0,0,440.994182971973
Potamogeton,220.497091485986,220.497091485986,0,220.497091485986,220.497091485986,220.497091485986,440.994182971973,0,0,0,0,0,0,0,0,220.497091485986,0,0,220.497091485986,0,0,0,0,0,0,440.994182971973,661.491274457959,0,0,0,0,0
Lemna,220.497091485986,661.491274457959,220.497091485986,220.497091485986,220.497091485986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuphar,220.497091485986,440.994182971973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butomus umbellatus,220.497091485986,0,0,0,0,0,0,0,0,0,0,0,0,440.994182971973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spora monolete,220.497091485986,220.497091485986,881.988365943945,1322.98254891592,1984.47382337388,440.994182971973,661.491274457959,881.988365943945,220.497091485986,0,661.491274457959,0,0,0,0,0,0,661.491274457959,220.497091485986,440.994182971973,661.491274457959,0,661.491274457959,881.988365943945,440.994182971973,220.497091485986,0,220.497091485986,220.497091485986,0,0,440.994182971973
Ophioglossum/Osmunda,881.988365943945,440.994182971973,0,220.497091485986,0,440.994182971973,0,220.497091485986,0,220.497091485986,220.497091485986,0,0,0,0,0,0,0,0,0,220.497091485986,0,0,440.994182971973,220.497091485986,0,0,0,0,0,0,220.497091485986
Pteris,2204.97091485986,661.491274457959,1322.98254891592,3527.95346377578,1322.98254891592,3086.95928080381,661.491274457959,220.497091485986,440.994182971973,440.994182971973,220.497091485986,440.994182971973,440.994182971973,881.988365943945,220.497091485986,0,0,1543.4796404019,220.497091485986,0,220.497091485986,0,220.497091485986,881.988365943945,1102.48545742993,661.491274457959,0,440.994182971973,0,0,0,2866.46218931782
Other pterophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.497091485986,0,0,0,0,0,0,0,0,0,0
