age,Depth [m],Cal age min [ka BP],Cal age max [ka BP],Accu model [a/cm],Acaena,Chen/Amar ,Apiaceae,Asteraceae Liguliflorae,Asteraceae Tubuliflorae,Austrocedrus chilensis,Berberis,Brassicaceae,Calycera,Caryophyllaceae,Cyperaceae,Drimys winteri,Elodea,Embothrium coccineum,Ephedra andina,Ericaceae,Gentiana,Gentianella,Gunnera chilensis,Isoetes savatieri,Kageneckia,Krameria ,Lamiaceae,Lithraea caustica,Malvaceae,Maytenus ,Misodendrum ,Muehlenbeckia ,Mutisia ,Myriophyllum,Myrtaceae,Nothofagus dombeyi-type,Nothofagus obliqua-type,Onagraceae,Plantago,Poaceae,Podocarpus salignus ,Polypodiaceae,Prumnopitys andina,Pteris chilensis,Rosaceae,Rubiaceae,Rumex,Typha angustifolia,Utricularia,Valeriana
37.2877,6.7,35.0664,39.8293,45.699,0,64,0,0,8,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1,5,0,7,1,0,0,5,1,1,11,0,1,0,0,0,0,0
37.7447,6.8,35.251,40.614,34.121,0,84,1,0,7,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,5,0,3,0,2,1,0,2,0,1,0,0,0,0,0
38.0859,6.9,35.7756,40.7934,34.121,0,37,4,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,6,0,22,2,0,0,11,1,0,1,0,0,0,0,0,0,0
38.4271,7,36.2483,40.9944,34.121,3,30,2,0,17,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,2,0,0,0,5,0,0,1,5,0,22,4,0,0,11,0,0,4,0,2,0,3,0,0,0
38.7683,7.1,36.6959,41.2406,34.121,2,48,2,0,16,0,0,0,0,0,5,0,0,0,0,2,0,0,3,0,0,0,0,0,0,11,0,0,0,3,2,11,1,0,0,6,0,0,2,0,0,0,0,0,2,0
39.1095,7.2,37.1025,41.5277,34.121,0,39,2,2,8,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,2,1,5,0,9,0,0,1,3,2,15,7,0,1,12,2,0,5,0,0,0,0,0,2,0
39.4507,7.3,37.4294,41.8623,34.121,2,40,0,0,19,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,9,0,0,0,6,2,21,3,3,0,8,0,0,2,0,0,0,0,0,0,0
39.7919,7.4,37.7154,42.3443,34.121,2,27,1,0,13,0,0,1,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,5,2,23,3,3,0,19,2,0,10,0,0,2,0,0,0,0
40.1332,7.5,37.9571,42.8965,34.121,2,9,2,1,15,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,1,2,1,21,5,3,0,20,2,0,7,0,0,2,1,0,0,0
40.4744,7.6,38.207,43.4705,34.121,2,27,1,0,15,0,0,1,0,0,15,0,0,0,2,0,0,0,0,0,0,2,2,3,0,11,0,0,0,2,1,18,5,3,1,11,3,0,7,0,0,0,0,0,2,0
40.8156,7.7,38.4365,44.0977,34.121,2,10,4,1,18,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,1,0,0,3,13,5,0,1,21,0,0,11,0,0,0,0,0,0,0
41.1568,7.8,38.5948,44.7708,34.121,2,40,1,0,10,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,8,0,0,0,3,1,16,4,0,0,11,0,0,4,0,0,0,0,0,1,0
41.498,7.9,38.752,45.4812,34.121,0,31,2,2,12,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,2,0,4,1,18,7,0,0,14,1,0,4,2,0,0,0,0,2,0
