Well Name,Depth,TC,TIC,TOC,TN,TS,d13C,d18O,EM1,EM2,EM3,EM4,EM5
Well 1,38,4.35,0.05,4.3,0.546,0.0695,-1.179149971971,-1.70104893207455,0.203266992572023,0.796733007427977,0,0,0
Well 1,43,5.89,2.98,2.91,0.373,0.0182,-1.43499837717196,-1.91928105872753,0.165613835273076,0.694234862723698,0,0.063689096575041,0.076462205428186
Well 1,47,5.86,3.95,1.91,0.25,0.0117,-0.806610668865473,-0.982011487621718,0.254245502645375,0.745754497354625,0,0,0
Well 1,51,5.37,4.4,0.97,0.136,0.00616,-0.581187208512561,-0.580550354559717,0.224803046500423,0.775196953499577,0,0,0
Well 1,54,5.07,4.18,0.89,0.113,0.00394,-1.58411974417823,-0.697353101364643,0.234245964124793,0.765754035875206,0,0,0
Well 1,58,5.08,4.29,0.79,0.107,0.00996,-1.12632283804662,-1.32241792130626,0.276824499973506,0.723175500026494,0,0,0
Well 1,62,5.56,4.65,0.91,0.112,0.0124,-1.37904674636958,-1.36532056960831,0.100505631330874,0.872829694541944,0.026664674127183,0,0
Well 1,66,6.34,5.28,1.06,0.103,0.00417,-1.5543131516988,-1.31392571460035,0.045871126013699,0.869484516531964,0.026640651514178,0.058003705940159,0
Well 1,70,5.17,4.4,0.77,0.0888,0.00844,-1.13935004006212,-1.14515395174263,0.043421188555538,0.909864677948353,0.043876949545269,0.00283718395084,0
Well 1,74,5.62,4.91,0.71,0.0967,0.00434,-1.32940896090583,-1.46289870661312,0,1,0,0,0
Well 1,78,5.28,4.67,0.61,0.1,0.00774,-0.634254273480251,-0.411847319044906,0.09463112099317,0.881272949527132,0.022690972072111,0.001404957407588,0
Well 1,82,5.25,4.71,0.54,0.086,0.00365,-1.43159440383484,0.992067358212208,0,0.092321903141911,0,0.907678096858089,0
Well 1,86,4.68,4.38,0.3,0.0686,0.00607,-1.2759753250402,0.116678374719681,0,0.413229386270227,0,0.586770613729773,0
Well 1,90,3.77,3.53,0.24,0.0677,0.00849,-1.77800481183136,-0.2427654728948,0,0.343733952475344,0.656266047524656,0,0
Well 1,94,4.01,3.74,0.27,0.0621,0.00942,-1.60622060514012,0.17636918718633,0,0,1,0,0
Well 1,98,3.25,3,0.25,0.0561,0.00954,-2.97172650804271,-0.457719468130852,0,1,0,0,0
Well 1,102,3.2,2.8,0.4,0.0619,0.013,-2.6350642288566,-0.834864734963448,0,0.250031624226451,0.749968375773549,0,0
Well 1,106,2.5,2.01,0.49,0.069,0.00838,-2.92169203433987,-0.311580520045542,0,0.622327426739886,0,0,0.377672573260114
Well 1,110,3.03,2.49,0.54,0.0753,0.0132,-2.06280371740027,-0.612580935917265,0,0.913538884406441,0,0,0.08646111559356
Well 1,114,3.17,2.75,0.42,0.0744,0.0102,-3.80783259023087,-2.10994241392927,0,0.336202198000902,0.663797801999098,0,0
Well 1,118,3.42,3.09,0.33,0.0672,0.012,-3.5078151787613,-1.38800988311218,0,0.578890007096596,0.170215539906517,0.250894452996887,0
Well 1,122,3.47,3.08,0.39,0.067,0.00566,-2.96269129504156,-0.334858046673164,0,0.024932310050951,0.566918605764381,0.300803051393509,0.107346032791159
Well 1,126,4.08,3.82,0.26,0.0657,0.0027,-1.88369504222977,-0.147242145998185,0.026299331153164,0.973700668846836,0,0,0
Well 1,130,3.99,3.52,0.47,0.106,0.022,-3.37804940796714,-2.10223440125611,0,0.621453518716752,0,0,0.378546481283248
Well 1,134,3.46,3.21,0.25,0.0647,-0.000263,-3.28717031430206,-2.85348118831468,0,1,0,0,0
Well 1,138,2.93,2.59,0.34,0.069,0.00275,-4.20755872980775,-3.76108359736642,0,0.803721828133495,0,0,0.196278171866505
Well 1,142,1.45,1.18,0.27,0.0828,0.00281,-4.47280176980885,-3.6999798376157,0,0.662489193104361,0,0,0.337510806895639
Well 1,146,2.65,2.27,0.38,0.102,0.00606,-5.29633991568921,-5.40435202199307,0,0.957141160390223,0,0,0.042858839609777
Well 1,150,6.68,6.51,0.17,0.0631,0.00236,0.41636250053942,-1.06935046139345,0.09851296029777,0.90148703970223,0,0,0
Well 1,154,5.62,5.49,0.13,0.056,0.00257,1.01866731748532,-0.293136138980984,0.020218351090609,0.95568217962507,0.024099469284322,0,0
Well 1,158,3.66,3.58,0.08,0.0445,0.00259,0.072218806510153,-0.553197622445254,0.087399936848939,0.731952446670073,0.180647616480988,0,0
Well 1,162,2.03,2.04,-0.01,0.0371,0.00666,-2.2370499975219,-1.13636519253136,0.152503378873564,0.67083755273757,0.176659068388866,0,0
Well 1,166,1.12,1.07,0.05,0.036,0.00691,-4.90732026908949,-1.27112966000826,0.254117939326741,0.5787587508959,0.157170958900376,0.009952350876983,0
Well 1,170,0.516,0.46,0.056,0.0296,0.0104,-5.31163783986785,-2.36752186182948,0.046390826345593,0.142349694114476,0.020637356553548,0.016404970193528,0.774217152792856
Well 1,174,0.362,0.19,0.172,0.0357,0.0101,-6.96994945036329,-2.56814781664207,0.086191510325237,0.289510512426567,0.158806031370322,0.113170239693226,0.352321706184648
Well 1,178,0.273,0.19,0.083,0.031,0.0157,-6.42852024381835,-3.20599764191858,0.061487715573177,0.138948468962044,0.149645400662357,0.129973403540628,0.519945011261794
Well 1,182,0.249,0.24,0.009,0.0314,0.0182,-6.84408539064208,-5.09581717266358,0.134336334388541,0.20053745020079,0.078438157533301,0,0.586688057877368
Well 1,186,0.335,0.37,-0.035,0.0353,0.00558,-6.63582104549278,-1.88729247797123,0.401256818329707,0.534940662319477,0.063802519350816,0,0
Well 1,190,0.426,0.31,0.116,0.0271,0.00466,-7.16533409839112,-2.85133120122866,0.364868394095591,0.347551312563398,0.189144704909751,0.098435588431261,0
Well 1,194,0.467,0.31,0.157,0.0299,0.00383,-6.66620616005156,-2.28131767322714,0.363754993483431,0.422751535236765,0.180231638803644,0.033261832476159,0
Well 1,198,0.303,0.18,0.123,0.0275,0.00324,-7.31388857279053,-2.56630786724343,0.339420806562925,0.378792038062886,0.15147848079785,0.13030867457634,0
Well 1,202,0.296,0.22,0.076,0.027,0.00318,-7.61496275605459,-2.47479652768398,0.404222347658128,0.487682046273252,0.10809560606862,0,0
